,Subject,obs,block,MMI,slope,IntersectionY,X_allocation,Y_allocation,RT,SV,ChoiceDifficulty
26,126,27,2,0.03216198535436321,-0.41229370523139536,24.147000593946366,39.2,8.0,5.081562650462386,13.22150908606491,0.09557527973054025
27,126,28,2,0.007440877710328531,-1.1610739403404056,99.62506255881995,39.9,53.3,5.883973671063376,24.41494337935636,0.041034812544860404
28,126,29,2,0.002043173145705568,-1.7818277857025895,92.64314739714541,17.6,61.3,6.827084210637531,20.11970648406036,0.048046331428936995
29,126,30,2,0.001250886112106664,-3.5561062066981015,85.71728274512597,0.5,84.0,8.638125036790177,17.747208589028745,0.17312574961600746
30,126,31,2,0.004003886395597678,-1.1797613571286814,93.16123275327736,38.7,47.6,6.705853373602539,23.118573985790086,0.04136913028143874
31,126,32,2,0.007746960218733001,-0.24576772925779386,19.67889971944904,80.1,0.0,6.267692716375288,16.70209247998494,0.21892076639933328
32,126,33,2,0.005421032096316614,-0.971417969,63.01113657,30.6,33.3,3.451438627949063,18.474190350895473,0.04658233709097354
33,126,34,2,0.0026349606810378567,-1.6393405328728954,80.4632906126206,20.0,47.6,7.042839914812819,18.392776387689043,0.04419315126784405
34,126,35,2,0.010517074522148562,-3.69927436,82.83852685,0.0,82.8,6.403543327884614,17.131650896995588,0.1860405501244528
35,126,36,2,0.0010505285084412286,-0.805715176714275,48.27825062604894,29.4,24.6,4.681196484443982,16.166851558417335,0.04453759570405021
36,126,37,2,0.05707550981505882,-0.4679019484417305,25.87701060154425,55.3,0.0,10.893359354364485,12.575355878331253,0.075663339333233
37,126,38,2,1.0655084620614375e-05,-0.7499713511226372,60.24468525966624,39.9,30.3,4.5756292818104844,19.666095660162597,0.04011757125627429
38,126,39,2,0.000980717671128728,-0.7047149116451205,46.00879565379468,39.0,18.5,6.207981694717761,16.38946016836151,0.04201947214479237
39,126,40,2,0.0008733103175696533,-7.962816353832011,65.38808354789728,0.0,65.4,6.135204311884094,14.299582937202196,0.5737589430191561
40,126,41,2,0.0004952712133948767,-0.10557622706487796,6.0730768089187865,57.5,0.0,6.505115607939735,12.956805321145733,0.7440719825594379
41,126,42,2,0.0032844078893372597,-0.9016100868459113,47.64846637984497,26.4,23.8,3.196607908038899,15.343032679525976,0.048385172783797364
42,126,43,2,0.0014951796211484236,-1.5958263167583118,83.55168541132502,21.5,49.3,5.773222487363046,19.107269723071145,0.042497880890887824
43,126,44,2,0.07295762993163013,-1.8759983497882171,98.6953705340496,0.2,98.3,9.40065686500911,19.74908557615789,0.05154479457002219
44,126,45,2,0.036803112405168315,-1.8248143591708081,96.67506287884397,28.1,45.3,5.302866992382358,20.11223636625079,0.04939629769295771
45,126,46,2,0.05175452687784099,-0.3274154460237309,27.671366578347524,60.1,8.0,7.399005646443013,16.963033218086522,0.13468271525019315
