Subject,block,obs,MMI,slope,IntersectionY,X_allocation,Y_allocation,RT,SV,ChoiceDifficulty,logMMI
110,1,13.0,0.010404799382667496,-1.2977373170670694,49.70343212925572,36.272000000000006,24.096,4.347477684952493,11.422034666855664,0.06831726417880399,-4.565488100180899
110,2,38.0,0.014013798594651265,-1.6741914718132203,56.97206221148206,28.131999999999998,29.291999999999998,3.6596194314262642,11.348385905343997,0.06025022056969503,-4.267712820861683
110,3,63.0,0.014251947791244337,-1.6451561178280543,56.7138315831935,34.048,30.076,3.835573571207559,11.953866524707104,0.06658441271502136,-4.250861694503443
111,1,13.0,0.008925737303901535,-1.4041856252294291,52.06790850625528,32.94782608695652,28.286956521739132,7.034748495272826,11.314234095540067,0.055832393890828814,-4.718816343647137
111,2,38.0,0.011444836990301034,-2.111260344120539,60.3115802066708,27.7,39.2304347826087,5.7964876167828905,11.516852033895058,0.06842045439808414,-4.470216568553565
111,3,63.0,0.01691202845683412,-1.101638937358376,51.009837211005205,37.216,26.3,5.943451131301215,11.557329909564569,0.07164468312338529,-4.079730167214107
112,1,13.0,0.06143906323168321,-1.4919949347226689,55.58796339957326,32.77916666666666,29.974999999999998,6.841092802810191,16.52692135596644,0.13420023973990072,-2.7897094371391113
112,2,38.0,0.03056982676329897,-1.294491761356564,52.74061050185754,28.695999999999998,27.284000000000002,6.30796019567091,16.536899247391915,0.1431375824621391,-3.4877418099813204
112,3,63.0,0.042438337379316404,-1.8305982106291108,55.06075202250047,29.535999999999998,32.708,6.195841332083599,15.644554179959592,0.12807333498881723,-3.1597031417974217
113,1,13.0,0.04811147989789756,-1.7229486086297516,53.76164209635212,27.987999999999996,25.684,5.208842562322011,9.752889135458615,0.054440667392348624,-3.0342344630309768
113,2,38.0,0.030023176766275524,-1.4153633699681338,52.75226413103639,29.076,26.46,4.565543792793462,9.983320032352323,0.050703755771508485,-3.5057856367141285
113,3,63.0,0.0505172775331836,-1.4787729281104582,56.87541969654278,33.316,32.036,4.859553900517823,10.253370008791103,0.046415978197344554,-2.985439871843758
114,1,13.0,0.027968230597052512,-1.4258230280318847,57.8388353983011,28.612,31.855999999999998,3.886500515442911,11.260081004551003,0.05555813292813566,-3.5766860345110905
114,2,38.0,0.010381230611678206,-1.359474063486667,56.74191920389312,34.116,27.64,3.8980554082262575,11.640340545419162,0.05710893427409104,-4.567755852233243
114,3,63.0,0.0488996051414827,-1.8317878151897924,48.808571321737055,31.491999999999997,28.676,4.03654967496155,10.74636570211804,0.0734335814159256,-3.017985957350217
115,1,13.0,0.032167035482572645,-1.4876651706956807,45.956601215622875,38.168,26.868000000000002,5.336401413350761,16.46183332295987,0.20107192787725597,-3.4368130935915775
115,2,38.0,0.031171071407130227,-1.7373259496455953,61.68143896128363,28.788,39.004,5.312875239042532,17.44975662647657,0.13020265489363525,-3.468264812770524
115,3,63.0,0.035695279948665636,-1.392093786367068,55.75128574702477,38.583999999999996,32.792,5.226279256013608,17.52864856184378,0.16405393781370914,-3.3327368132607194
116,1,13.0,0.0314017212207209,-1.371991665145035,50.24767717857591,33.092,27.428,4.089738367951161,11.363463404902193,0.07542973126246076,-3.460892571623743
116,2,38.0,0.018825928829989638,-1.6312517744634727,60.310444533950005,29.748,34.168,4.198221546850586,11.678722126512932,0.056785038798565515,-3.972520166274876
116,3,63.0,0.01600673121661338,-1.6138414670998364,52.831204211405364,29.712,31.548000000000002,3.802455257635362,11.299558538246346,0.06013969976010418,-4.134745944173889
117,1,13.0,0.008832283122626905,-1.30543627944685,46.53178811053263,42.016666666666666,25.429166666666664,5.20200465485209,18.5551418383859,0.22626901171595118,-4.729341733504344
117,2,38.0,0.013638457464955045,-1.1663360493993582,56.837575590290506,34.9375,34.65833333333333,4.341058713964416,19.56562942798308,0.13844126545072083,-4.294861722041415
117,3,63.0,0.011209652940416426,-2.145312577862136,60.01996222310813,30.98,37.64,4.004653181773176,18.87331474033225,0.18849502028316995,-4.490980002197456
118,1,13.0,0.010352070188941456,-1.600013225871777,54.11556195387666,36.516,28.168000000000003,5.573883221884939,12.85847052465855,0.07785932506350637,-4.57056876101653
118,2,38.0,0.008640029788960115,-1.6891298304470346,55.33984411765936,37.32,29.912,5.486267758691888,12.994107613031717,0.08628283180473467,-4.751349248375807
118,3,63.0,0.020661432810924363,-1.3279418503895324,53.933919852395256,37.652,26.02,4.926899114450135,12.769780468664889,0.08490438109530166,-3.8794864657629313
119,1,13.0,0.05713981927414141,-1.6957469205765994,56.28357242267156,27.096,31.92,5.731737138492979,10.720128721343228,0.06792952829486966,-2.86225404504518
119,2,38.0,0.028347446075481644,-1.844082246385897,52.63753940544556,31.244,29.204,6.238539980287953,10.87073085039656,0.06200999298060442,-3.5632183383872498
119,3,63.0,0.04637930641056932,-1.0772557397458473,54.468214095814155,36.972,27.96,5.83794948825654,11.30869708982857,0.05047240898187542,-3.0709019017605486
120,1,13.0,0.02393566926272098,-1.7343359594771115,57.01959696117049,28.76,29.124000000000002,6.405082677933091,16.727393468215617,0.16888406225945052,-3.7323854948523376
120,2,38.0,0.06065110924396059,-1.3514964864446843,52.05115736962735,24.612,27.012000000000004,5.83616203413857,16.293545618292807,0.15029780663731448,-2.8026173544936923
120,3,63.0,0.041206077592120666,-1.5312524607865479,54.31857159313344,22.151999999999997,28.208000000000002,5.751721677623377,16.19966809464038,0.15844775985425696,-3.1891695191339706
121,1,13.0,0.016625276014341606,-2.024952445402919,56.17146142460881,27.400000000000002,27.983333333333334,6.284828990683599,8.823824335878522,0.03328713502740824,-4.096831090211625
121,2,38.0,0.010940177379681887,-1.2592692439448645,50.450114002634365,37.164,25.968000000000004,4.237817324956742,8.99655875174994,0.03572541287283588,-4.5153132682548565
121,3,63.0,0.016836393159538002,-1.3328632173605603,56.7677504966881,32.46,30.288,4.709093410739922,8.97149824165834,0.029548070185206686,-4.0842124760336915
