Subject,VMPFC__VSTR,M1_R__VSTR,M1_R__VMPFC,M1_L__VSTR,M1_L__VMPFC,M1_L__M1_R,SMA_R__VSTR,SMA_R__VMPFC,SMA_R__M1_R,SMA_R__M1_L,SMA_L__VSTR,SMA_L__VMPFC,SMA_L__M1_R,SMA_L__M1_L,SMA_L__SMA_R,preSMA_R__VSTR,preSMA_R__VMPFC,preSMA_R__M1_R,preSMA_R__M1_L,preSMA_R__SMA_R,preSMA_R__SMA_L,preSMA_L__VSTR,preSMA_L__VMPFC,preSMA_L__M1_R,preSMA_L__M1_L,preSMA_L__SMA_R,preSMA_L__SMA_L,preSMA_L__preSMA_R,dACC__VSTR,dACC__VMPFC,dACC__M1_R,dACC__M1_L,dACC__SMA_R,dACC__SMA_L,dACC__preSMA_R,dACC__preSMA_L,PCC__VSTR,PCC__VMPFC,PCC__M1_R,PCC__M1_L,PCC__SMA_R,PCC__SMA_L,PCC__preSMA_R,PCC__preSMA_L,PCC__dACC
128,0.2278669,0.2106759,0.2834323,0.1850709,0.2944345,0.5438159,0.2347143,0.1993911,0.4385657,0.5323607,0.2641133,0.2182625,0.3090713,0.7051365,0.8156323,0.255516,0.1920758,0.19205,0.2797336,0.6166065,0.6054433,0.2897595,0.3020404,0.1859955,0.2220623,0.1938412,0.3854572,0.6155636,0.2523739,0.5172567,0.1238631,0.2090383,0.2708883,0.3866931,0.4920123,0.5420784,0.2344409,0.6502728,0.1654099,0.2507207,0.1740911,0.3521985,0.2985473,0.4801847,0.6433785
129,0.3455528,0.2712052,0.4808526,0.2623129,0.475177,1.01989,0.161774,0.2084112,0.7108521,0.4281896,0.1700427,0.1711771,0.6713866,0.4461829,0.9982073,0.1957598,0.1310154,0.3743536,0.2285793,0.4245422,0.5214843,0.2703505,0.5420057,0.5748797,0.4062569,0.4939956,0.6109667,0.5829346,0.3958847,0.4940859,0.3203317,0.2394369,0.1836891,0.1981568,0.5045623,0.6797311,0.238072,0.5946625,0.2359696,0.2177102,0.04899473,-0.04105393,-0.005557334,0.424719,0.4270381
130,0.03259066,0.1341398,0.1647701,0.143555,0.1748704,1.268775,0.1388579,-0.1287356,0.6253969,0.516164,0.1396658,-0.1728785,0.4999527,0.5038129,1.070763,0.2366689,-0.1232499,0.4516398,0.3883413,0.4992618,0.3780936,0.252893,0.1400557,0.340829,0.2609977,0.2493755,0.2848162,0.6153492,0.1141216,0.2935553,0.1767988,0.1597081,-0.01116784,0.02876317,0.3237547,0.6372422,0.09155572,0.4521464,0.1535452,0.1365729,-0.05379603,-0.06194646,0.04682305,0.2629188,0.3217846
131,0.1546988,0.1135262,0.361576,0.01481125,0.2602264,0.4453848,0.0597741,0.006637056,0.172659,0.1203605,0.02885618,-0.09605736,0.02483453,0.116457,0.4256347,0.04257897,-0.1965674,-0.002273062,0.01352456,0.3292512,0.3646169,-0.08510908,-0.05300027,0.05958386,-0.03790578,-0.01251537,0.2278275,0.3015805,0.08060441,0.2349252,0.04241152,-0.00599592,0.04056663,0.08437193,0.1771781,0.2511539,0.1388232,0.517584,0.2368328,0.1233978,0.0407925,-0.1190884,-0.09777761,-0.1442348,0.2585873
132,0.4715303,0.3486055,0.372538,0.3897101,0.3506532,0.9878821,0.5305783,0.6144373,0.8866847,0.7826403,0.4870584,0.4525306,0.6313674,0.6959817,1.040664,0.5574667,0.4410373,0.7001858,0.7429462,1.096347,0.8931283,0.419743,0.3642252,0.3711137,0.4563856,0.6858106,0.8376255,0.7960311,0.2817565,0.5207568,0.3058863,0.3415058,0.6277881,0.5646591,0.5955997,0.61357,0.4267529,0.8117118,0.553836,0.5423428,0.6806962,0.4570371,0.5679761,0.3212058,0.4810888
133,0.1657326,0.1938239,-0.02287953,0.1540749,-0.01918426,0.8549165,0.1547215,-0.122137,0.6540385,0.6329772,0.1497905,-0.07381641,0.5337349,0.555051,0.8039681,0.06183817,-0.08099345,0.2979345,0.2604286,0.5131015,0.4514811,0.09169456,-0.2201433,0.2414523,0.2696974,0.2333706,0.3827963,0.2503588,0.1318952,0.0555772,0.2101477,0.1844377,0.2237402,0.2399359,0.3618937,0.5467627,0.1260518,0.1250896,-0.0006606034,-0.01433091,-0.08771995,-0.04506856,-0.03525398,0.2791681,0.4149204
134,0.2769175,0.1357389,0.1385805,0.1056976,0.1196163,0.6748472,-0.02973092,0.04758487,0.482038,0.4703543,0.04231448,0.07619117,0.2366459,0.3056967,0.4707579,0.02137402,-0.07057866,0.4137745,0.3120646,0.4351074,0.2392332,0.06382956,-0.02789388,0.2757263,0.1885425,0.1387441,0.1787175,0.4466588,0.1448216,0.1909848,0.1194256,0.07067453,0.03139593,0.1219601,0.3446339,0.3243562,0.1421749,0.4268225,0.01883804,0.09136163,0.0830787,0.1281939,-0.02835017,0.08326671,0.1904489
135,0.2574104,0.1827717,0.2712492,0.09850148,0.1504031,0.2899335,0.2047288,0.2928894,0.5429899,0.1436045,0.1865506,0.2972797,0.5411704,0.3462503,0.6816205,0.04488438,0.3070961,0.3827424,0.1556012,0.7374854,0.494866,-0.003155524,-8.44704e-05,0.198622,0.2080253,0.1740441,0.3852971,0.1889084,0.1565863,0.5450412,0.2153479,0.1643164,0.2268529,0.2074821,0.2495029,0.1662551,0.1756898,0.5867329,0.1173652,0.06851181,0.04103904,0.06143739,-0.003139438,-0.04782247,0.5361193
136,0.2999833,0.2853487,0.3632648,0.2616305,0.2556957,0.7701718,0.2350853,0.1639375,0.5257995,0.5340329,0.2529804,0.1214075,0.5238937,0.5245218,0.8573077,0.1310498,0.001379737,0.448403,0.5110122,0.6836245,0.5251974,0.1038107,0.07909679,0.3135837,0.1757084,0.1098346,0.2452152,0.2788095,0.2307474,0.2559173,0.2813298,0.2024517,0.15903,0.2054424,0.1971929,0.2984566,0.2662638,0.3187847,0.5115767,0.3415442,0.3591235,0.3642702,0.1911754,0.2133299,0.3221765
137,0.1741996,0.122015,0.2320285,0.1541703,0.08394496,0.323962,0.1133978,0.06276321,0.5319051,0.4014758,0.1125756,-0.1598278,0.2423753,0.5312337,0.571458,0.1787497,-0.2225113,0.06601062,0.2880208,0.326004,0.3522464,0.08243714,-0.3781788,-0.004871723,0.2789545,0.1602754,0.4195632,0.5118428,0.0968014,0.2145977,-0.01472446,0.06467203,-0.09189836,-0.1020097,0.2016,0.1632335,0.03133414,0.5722207,0.1374485,0.02416199,-0.05826816,-0.09096787,-0.1774059,-0.257751,0.1900834
138,0.1172917,-0.006319806,0.04573372,0.1213737,0.006318273,0.3116266,0.01970571,-0.1665549,0.2222458,0.3775595,-0.02254018,-0.1962943,0.1596614,0.452265,0.5139744,0.05277236,-0.156288,0.2298325,0.3479725,0.4721887,0.4635062,0.02648218,-0.01598654,0.2491885,0.1056953,0.1467725,0.2443466,0.5701674,0.08998725,0.2927881,0.1714692,0.1352164,0.04204529,-0.02509398,0.2482429,0.3722433,0.1051198,0.2737015,0.1092669,0.07726941,0.004808974,-0.1009113,-0.04847466,0.01545981,0.2604691
139,0.199141,0.03184597,0.2795627,0.01833288,0.1552283,1.350883,0.04111835,0.1755271,1.280048,1.169485,0.05840341,0.04016403,0.9329301,0.9769772,1.15913,0.03295956,-0.08421219,0.2694218,0.2903726,0.3342788,0.4683614,0.006565283,0.1550445,0.3454754,0.2696363,0.2485572,0.2755551,0.3057294,0.09922948,0.3602884,-0.02513995,-0.1485422,-0.169991,-0.2314517,-0.05563246,0.3864219,0.1264781,0.6743096,0.3513086,0.2407718,0.2067302,0.08541067,0.03107014,0.3540006,0.4847177
140,0.2417097,0.1836026,0.171441,0.1951691,0.1215585,0.5317472,0.2522037,0.1110717,0.4474751,0.4358912,0.2482371,0.09897093,0.5243317,0.6586815,0.7066463,0.1722901,-0.1240656,0.1675558,0.219895,0.4306217,0.3794345,0.1814491,0.006915346,0.1660259,0.2974741,0.2928127,0.4161279,0.6257492,0.1643624,0.3918771,0.243187,0.234769,0.2425235,0.2208425,0.3328106,0.3955248,0.249487,0.4527365,0.1099277,0.1172361,0.2877631,0.2172398,0.2673359,0.3506038,0.4459738
141,0.1740835,-0.05874419,0.04531729,-0.003512525,0.1982504,0.6566991,-0.0604857,0.01196072,0.3832332,0.3929977,0.004480211,0.002110751,0.3557138,0.3636643,0.4745287,-0.02422955,-0.1825841,0.2501276,0.1442067,0.4001735,0.231381,0.07407241,0.100942,0.1906061,0.2530418,0.2057182,0.3441702,0.225913,0.1787759,0.5424652,-0.0291822,0.08832096,-0.03132273,-0.02801772,0.03968276,0.246436,0.1339566,0.5309345,-0.01845724,0.1042795,0.02303842,0.006397936,-0.1835654,-0.01070397,0.3012095
142,0.1564603,-0.05701477,0.05760006,0.02075338,0.1529341,0.6442397,-0.01816758,0.0989379,0.3947449,0.4365795,0.05971731,0.06414085,0.3422257,0.3905201,0.4505857,0.02236971,-0.09625687,0.2961456,0.2654355,0.4444069,0.3117092,0.1168693,0.1231007,0.1818985,0.2834067,0.2480798,0.395492,0.3287798,0.1609374,0.4785155,0.005427647,0.07853185,0.08695026,0.0767191,0.1386736,0.2966109,0.1526289,0.4728988,-0.09379719,0.02146866,-0.005497523,-0.02554651,-0.1243991,0.003094423,0.2698782
144,0.1478752,0.2406313,0.367229,0.08452923,0.128885,0.9088678,0.2433155,0.3299183,0.9884704,0.7052261,0.2509144,0.3249261,0.9312646,0.8629981,1.067846,0.29939,0.1786243,0.4404713,0.307395,0.7385112,0.713475,0.3111421,0.1718827,0.4862181,0.3970791,0.639468,0.6933517,0.7255427,0.2869799,0.517453,0.3873117,0.208038,0.4621606,0.4464022,0.5664272,0.4942448,0.1912879,0.7429106,0.4482105,0.2329747,0.4703489,0.4927708,0.3507627,0.3367893,0.6184709
145,0.1695505,-0.03516483,0.2586722,-0.09270212,0.1781698,1.381566,0.01639377,0.2006434,0.9999744,0.8645964,0.003536498,0.2221809,1.011007,0.9461917,0.9559008,0.277368,0.1963503,0.3227807,0.2336345,0.3646094,0.3398191,0.2100507,0.2940862,0.3408681,0.2607421,0.3000132,0.4330014,0.5510781,0.2816295,0.3987372,0.1256386,0.06314345,0.05630131,0.09629996,0.4493485,0.4478849,0.2664001,0.259605,-0.009870616,-0.06445391,0.002039048,-0.02890103,0.206646,0.09957857,0.3449993
146,0.307126,0.1793095,0.2447426,0.2597114,0.2624889,0.8341815,0.1652298,0.2644985,0.6853027,0.7007936,0.1249859,0.2130592,0.6847254,0.6971775,0.8510517,0.1456525,0.02406245,0.2248627,0.3056731,0.312944,0.1516651,0.1841899,0.1537201,0.3017278,0.3099889,0.2960083,0.3631045,0.3920653,0.2494003,0.290917,0.1209417,0.1410174,0.1265271,0.07404687,0.3307737,0.3278351,0.1395968,0.1466334,0.1348571,0.1631993,0.1201094,0.1922112,-0.02395117,0.01172565,0.1376839
148,0.16181,0.03218738,-0.006139088,-0.1119158,-0.1811005,0.5119445,0.1300455,-0.1381633,0.4970663,0.3356648,0.09182211,-0.1847273,0.5029264,0.5926884,0.7555232,0.0782715,-0.1588638,0.4577751,0.3119014,0.7563005,0.5542847,0.08734502,-0.1518545,0.3981571,0.2424882,0.5708864,0.5249944,0.7092066,0.01887641,0.2600924,0.1960318,0.06177532,-0.04102961,-0.01107716,0.08925964,0.1370132,0.07242243,0.6941517,-0.1576428,-0.3062578,-0.2643379,-0.3195684,-0.2045747,-0.1771175,0.2769228
