,Feature,Beta,Node1,Node2
3375,LH_DorsAttn_Post_2__LH_Vis_7,0.0,17.0,7.0
3355,LH_DorsAttn_Post_2__LH_Vis_8,0.0,17.0,8.0
3353,LH_DorsAttn_Post_2__LH_SomMot_2,0.0,17.0,11.0
3317,LH_SomMot_5__LH_SomMot_2,0.0,14.0,11.0
3334,LH_DorsAttn_Post_2__LH_SomMot_3,0.0,17.0,12.0
3332,LH_DorsAttn_Post_2__LH_SomMot_4,0.0,17.0,13.0
3331,LH_DorsAttn_Post_2__LH_SomMot_5,0.0,17.0,14.0
3239,LH_DorsAttn_Post_4__LH_DorsAttn_Post_1,0.0,19.0,16.0
3329,LH_DorsAttn_Post_2__LH_DorsAttn_Post_1,0.0,17.0,16.0
3328,LH_DorsAttn_Post_3__LH_Vis_1,0.0,18.0,1.0
3327,LH_DorsAttn_Post_3__LH_Vis_2,0.0,18.0,2.0
3326,LH_DorsAttn_Post_3__LH_Vis_3,0.0,18.0,3.0
3325,LH_DorsAttn_Post_3__LH_Vis_4,0.0,18.0,4.0
3324,LH_DorsAttn_Post_3__LH_Vis_5,0.0,18.0,5.0
3323,LH_DorsAttn_Post_3__LH_Vis_6,0.0,18.0,6.0
3322,LH_DorsAttn_Post_3__LH_Vis_7,0.0,18.0,7.0
3321,LH_DorsAttn_Post_3__LH_Vis_8,0.0,18.0,8.0
3320,LH_DorsAttn_Post_3__LH_Vis_9,0.0,18.0,9.0
3319,LH_DorsAttn_Post_3__LH_SomMot_1,0.0,18.0,10.0
3318,LH_DorsAttn_Post_3__LH_SomMot_2,0.0,18.0,11.0
3333,LH_DorsAttn_Post_3__LH_SomMot_3,0.0,18.0,12.0
3335,LH_DorsAttn_Post_3__LH_SomMot_4,0.0,18.0,13.0
3352,LH_DorsAttn_Post_3__LH_SomMot_5,0.0,18.0,14.0
3336,LH_DorsAttn_Post_3__LH_SomMot_6,0.0,18.0,15.0
3351,LH_DorsAttn_Post_3__LH_DorsAttn_Post_1,0.0,18.0,16.0
3350,LH_DorsAttn_Post_3__LH_DorsAttn_Post_2,0.0,18.0,17.0
3349,LH_DorsAttn_Post_4__LH_Vis_1,0.0,19.0,1.0
3348,LH_DorsAttn_Post_4__LH_Vis_2,0.0,19.0,2.0
3347,LH_DorsAttn_Post_4__LH_Vis_3,0.0,19.0,3.0
3346,LH_DorsAttn_Post_4__LH_Vis_4,0.0,19.0,4.0
3345,LH_DorsAttn_Post_4__LH_Vis_5,0.0,19.0,5.0
3344,LH_DorsAttn_Post_4__LH_Vis_6,0.0,19.0,6.0
3343,LH_DorsAttn_Post_4__LH_Vis_7,0.0,19.0,7.0
3342,LH_DorsAttn_Post_4__LH_Vis_8,0.0,19.0,8.0
3341,LH_DorsAttn_Post_4__LH_SomMot_1,0.0,19.0,10.0
3340,LH_DorsAttn_Post_4__LH_SomMot_2,0.0,19.0,11.0
3339,LH_DorsAttn_Post_4__LH_SomMot_3,0.0,19.0,12.0
3338,LH_DorsAttn_Post_4__LH_SomMot_4,0.0,19.0,13.0
3337,LH_DorsAttn_Post_4__LH_SomMot_5,0.0,19.0,14.0
3240,LH_DorsAttn_Post_4__LH_SomMot_6,0.0,19.0,15.0
3223,LH_SalVentAttn_FrOperIns_1__LH_Vis_4,0.0,25.0,4.0
3238,LH_DorsAttn_Post_4__LH_DorsAttn_Post_2,0.0,19.0,17.0
3134,LH_DorsAttn_Post_5__LH_Vis_7,0.0,20.0,7.0
3141,LH_DorsAttn_Post_5__LH_DorsAttn_Post_1,0.0,20.0,16.0
3140,LH_DorsAttn_Post_5__LH_Vis_1,0.0,20.0,1.0
3139,LH_DorsAttn_Post_5__LH_Vis_2,0.0,20.0,2.0
3138,LH_DorsAttn_Post_5__LH_Vis_3,0.0,20.0,3.0
3137,LH_DorsAttn_Post_5__LH_Vis_4,0.0,20.0,4.0
3136,LH_DorsAttn_Post_5__LH_Vis_5,0.0,20.0,5.0
3135,LH_DorsAttn_Post_5__LH_Vis_6,0.0,20.0,6.0
3133,LH_DorsAttn_Post_5__LH_Vis_8,0.0,20.0,8.0
3237,LH_SalVentAttn_ParOper_1__LH_DorsAttn_Post_6,0.0,24.0,21.0
3132,LH_DorsAttn_Post_5__LH_Vis_9,0.0,20.0,9.0
3131,LH_DorsAttn_Post_5__LH_SomMot_1,0.0,20.0,10.0
