,Feature,Beta,Node1,Node2
4822,RH_SalVentAttn_Med_1__RH_DorsAttn_Post_1,0.0013590140332186058,77.0,67.0
4821,LH_Limbic_OFC_1__LH_SalVentAttn_ParOper_1,0.0013578738862735213,31.0,24.0
4820,RH_SalVentAttn_TempOccPar_1__LH_Vis_5,0.001346051259662887,74.0,5.0
4819,LH_Default_PFC_7__LH_Default_PFC_4,0.001328396761359945,48.0,45.0
4818,RH_Default_PFCdPFCm_3__LH_Cont_pCun_1,0.0013163872284822288,98.0,36.0
4817,LH_Cont_Cing_1__LH_DorsAttn_Post_3,0.001313111285795791,37.0,18.0
4816,RH_Default_pCunPCC_1__RH_SomMot_8,0.0012808306147797457,99.0,66.0
4815,RH_Default_pCunPCC_1__LH_SalVentAttn_FrOperIns_1,0.0012674690512703946,99.0,25.0
4814,LH_Default_PFC_7__LH_SalVentAttn_PFCl_1,0.0012669414641298753,48.0,27.0
4813,RH_Default_PFCdPFCm_3__RH_Vis_6,0.0012521397216536632,98.0,56.0
4812,RH_Cont_PFCl_2__RH_DorsAttn_Post_2,0.001221559730407928,84.0,68.0
4811,RH_Default_Temp_3__LH_Vis_2,0.0012188648066324232,93.0,2.0
4810,RH_Cont_pCun_1__LH_Default_PFC_2,0.0012086538631005518,89.0,43.0
4809,LH_Default_PFC_4__LH_SomMot_3,0.001170913910408468,45.0,12.0
4808,LH_Limbic_TempPole_2__LH_DorsAttn_Post_6,0.0011507211493270216,33.0,21.0
4807,RH_DorsAttn_Post_2__LH_Limbic_TempPole_2,0.0011339843759644351,68.0,33.0
4806,RH_Default_pCunPCC_1__LH_DorsAttn_Post_5,0.0011318600382932672,99.0,20.0
4805,RH_Default_pCunPCC_1__LH_Limbic_OFC_1,0.0011217187809236563,99.0,31.0
4804,RH_SomMot_7__LH_Vis_5,0.001119913621446967,65.0,5.0
4803,RH_SalVentAttn_TempOccPar_1__LH_Vis_2,0.0011062878909048304,74.0,2.0
4802,RH_Default_pCunPCC_2__RH_Cont_pCun_1,0.001105439013088832,100.0,89.0
4801,RH_Cont_PFCl_4__RH_SomMot_4,0.0011042168697687341,86.0,62.0
4800,RH_SomMot_6__LH_Default_PFC_5,0.0011036220236854235,64.0,46.0
