,Feature,Beta,Count
113,RH_DorsAttn_FEF_3__RH_SomMot_5,6.98215661974189e-05,2.0
114,RH_Cont_Par_2__RH_SomMot_39,0.00013927537290298744,2.0
115,RH_Cont_PFCl_13__LH_DorsAttn_Post_1,0.0016858116963968564,2.0
116,LH_DorsAttn_Post_6__LH_Vis_24,0.0002953315694239098,2.0
117,LH_Default_PFC_3__LH_Default_Temp_5,0.0001278947976349672,2.0
118,RH_Cont_PFCl_1__LH_Limbic_TempPole_7,0.0002006720825891098,2.0
119,RH_Limbic_OFC_2__LH_Default_PFC_16,0.0003412053277481115,2.0
120,RH_Cont_Temp_2__LH_Cont_PFCl_5,0.00017635179854060798,2.0
121,RH_SomMot_5__LH_SalVentAttn_ParOper_1,0.0007296445154216422,2.0
122,LH_Default_PFC_18__LH_Default_PFC_3,0.00041982731728166866,3.0
123,PALLIDUM_LEFT__RH_Vis_30,0.0005939024401126115,3.0
124,RH_Cont_PFCl_3__LH_Default_PFC_3,0.00020321013127517292,3.0
125,LH_Default_Par_4__LH_Cont_pCun_2,0.0027763721276787383,3.0
126,LH_Limbic_OFC_4__LH_Vis_10,0.015524362655983377,3.0
127,RH_Default_PFCdPFCm_7__RH_DorsAttn_FEF_3,0.0030431148320405016,3.0
128,LH_Cont_pCun_2__LH_DorsAttn_Post_1,0.00020653795677182834,3.0
129,RH_Default_PFCdPFCm_7__RH_SalVentAttn_Med_2,0.01131074557367066,4.0
130,LH_Default_Temp_5__LH_Cont_PFCl_5,0.003209189155586087,4.0
131,RH_Default_PFCdPFCm_7__LH_SomMot_6,0.017386721808327815,4.0
132,LH_Default_PFC_3__LH_Cont_PFCl_8,0.0007522067031838806,4.0
133,LH_Default_PFC_21__LH_Limbic_TempPole_3,0.008016347102375584,5.0
134,RH_SomMot_37__LH_Limbic_OFC_4,0.0085026565366138,5.0
135,LH_Default_PFC_6__LH_Limbic_OFC_4,0.00010463667861347014,5.0
136,LH_Cont_PFCl_3__LH_Limbic_OFC_4,0.0003438296085190501,5.0
137,RH_SalVentAttn_TempOccPar_1__RH_SomMot_21,0.00030786461186061716,5.0
138,LH_Default_PFC_2__LH_Limbic_OFC_4,0.0006539857365370751,6.0
139,RH_Cont_pCun_1__LH_SomMot_34,0.0006819910606723846,7.0
140,RH_SalVentAttn_TempOccPar_1__LH_DorsAttn_Post_10,0.0014409779018703963,8.0
141,LH_Default_PFC_4__LH_Limbic_OFC_4,0.0003445066372710652,9.0
142,LH_Default_PFC_18__LH_Limbic_TempPole_3,0.03125700358989421,9.0
143,RH_Cont_Par_2__RH_SomMot_37,0.0014054711400552703,9.0
144,LH_Cont_PFCl_7__LH_Limbic_OFC_4,0.0006599319270955089,10.0
145,RH_Default_PFCdPFCm_7__LH_SomMot_11,0.01691963405207482,10.0
146,LH_Default_PFC_5__LH_Limbic_OFC_4,0.0008277803749989892,13.0
147,LH_SalVentAttn_FrOperIns_2__LH_DorsAttn_Post_10,0.00048202849097517253,13.0
148,LH_Limbic_OFC_1__LH_SalVentAttn_FrOperIns_8,0.0009021348749956822,14.0
149,RH_Default_Par_1__LH_SalVentAttn_Med_4,0.002712736685160385,15.0
150,PALLIDUM_LEFT__RH_Cont_Par_3,0.0018104208529267165,15.0
151,RH_Cont_PFCl_12__LH_SomMot_34,0.0014638645787642427,16.0
152,RH_Cont_Cing_1__LH_Limbic_OFC_4,0.0010448320223079633,16.0
153,LH_Default_Temp_7__LH_Limbic_OFC_4,0.0016914214919629632,17.0
154,PALLIDUM_LEFT__RH_Default_Temp_8,0.001707653554273898,17.0
155,RH_Cont_Par_3__RH_Limbic_OFC_6,0.0010127763484825028,17.0
156,LH_Cont_OFC_1__LH_Limbic_OFC_4,0.002217893106941999,20.0
157,RH_Cont_Cing_2__LH_Limbic_OFC_4,0.0015134402477609695,20.0
158,LH_Default_PFC_11__LH_Limbic_OFC_4,0.0021777200146447825,22.0
159,LH_Default_PFC_10__LH_Limbic_OFC_4,0.0020652520940862697,23.0
160,LH_Default_PFC_14__LH_Limbic_OFC_4,0.0034718208180704703,23.0
161,LH_Default_PFC_7__LH_Limbic_OFC_1,0.002285368418270368,23.0
162,LH_Default_PFC_13__LH_Limbic_OFC_4,0.002172784148144394,23.0
163,RH_Default_Temp_3__LH_Limbic_OFC_4,0.0018453911555643793,25.0
164,RH_Cont_PFCv_1__LH_SomMot_37,0.0023180070257602494,26.0
165,RH_DorsAttn_Post_4__LH_SomMot_36,0.005689427593234167,26.0
166,LH_Default_Temp_1__LH_Limbic_OFC_4,0.0012868866464703275,27.0
167,RH_DorsAttn_Post_16__LH_DorsAttn_Post_10,0.001784431462357821,27.0
168,RH_Limbic_OFC_6__RH_SomMot_29,0.005984516109311677,28.0
169,PALLIDUM_LEFT__LH_Vis_25,0.005208477208489414,29.0
170,LH_Default_PFC_16__LH_Limbic_OFC_4,0.002952616638892993,29.0
