Subject,ConvMMI,PCC,SMA,VSTR,Kolling,M1,VMPFC
101,0.0509958615703082,7913.24745290274,9418.77025854184,5610.65234444447,9948.41664696455,12612.1088707209,9701.38450964635
101,0.0450691115060955,7916.51709106357,9396.16359854975,5605.65444000509,9992.38682597834,12550.083263082,9681.6371381825
101,0.034895855117639,7893.7113539884,9354.40476453841,5597.41438306695,9940.00824873627,12513.357611936,9682.13951212689
101,0.0240739845934437,7926.35205265913,9402.55901978687,5634.47948371498,9974.92905720658,12499.1762954408,9763.46852552337
101,0.0148002121293553,7919.09049078445,9384.91954244813,5613.59117761687,9977.55560181776,12522.3923821517,9761.25099786103
101,0.00787081009709323,7914.4994787515,9404.05388457684,5611.07030312467,9972.83893570903,12539.5951651114,9737.83931425856
101,0.00316697133274471,7919.75901339709,9450.20100585742,5642.31156225832,9968.90746874163,12573.7586099565,9791.4295260274
101,0.000223850895749246,7916.06741072392,9447.19671763996,5636.32726038593,9971.50968036539,12623.1166985232,9763.53103592498
101,-0.00147428420978374,7954.71799377558,9478.68277411759,5644.20022107731,10030.5498339791,12692.8079938318,9796.92660386869
101,-0.00235621332493334,7947.630691425,9468.81808078988,5659.95886430129,10028.1782014721,12707.4443787143,9779.47011944614
101,-0.00274773101949527,7943.58994727423,9464.13133905734,5635.23911343237,9981.840808282,12742.4291314019,9734.45210494887
101,-0.00283640288965033,7959.14756102697,9455.20650016963,5655.14542878191,9992.4179912418,12750.0331733899,9729.07759768795
101,-0.00275315129631531,7961.19027836557,9426.4228568391,5643.5101447357,9985.75538233965,12690.3400148571,9749.18712286737
101,-0.00257722568276941,7957.31809127133,9380.74659766563,5618.66987722063,9976.20912560257,12599.9196034836,9753.04791555716
101,-0.00235550885876215,7965.50608398245,9420.69603344038,5629.51860142527,10010.0044434378,12538.7601987833,9820.8721368828
101,-0.00171810485888218,7970.68174119598,9393.85414197737,5611.20918521547,9990.7653059303,12563.9296221176,9784.08842090894
101,0.00315670836285968,7974.25338593241,9370.88408015513,5634.21925710136,9973.76585724089,12621.9790327719,9782.34989081282
101,0.0163056943311829,7923.15743749512,9367.04021035668,5625.63757114142,9952.42803879887,12601.6863074669,9778.33856801741
101,0.0364833513475921,7902.82232732223,9376.06838771232,5623.0104800254,9917.1542189383,12588.3126846705,9751.09349372416
101,0.0585727102909746,7888.01299115104,9393.94636567096,5612.11663206358,9953.05002594403,12604.1127660159,9748.90854281183
101,0.0743157377510808,7910.15722145851,9407.59980392532,5620.50636821254,9969.05765850964,12606.6040588553,9740.68576600223
101,0.0773210078775076,7919.36288548249,9404.11554002714,5640.53592238835,9942.72326405162,12566.4793695955,9743.22986615011
101,0.0684250844922816,7926.53614998629,9380.089019525,5625.04118945063,9932.06401741179,12518.6665911987,9690.02209004584
101,0.0530439389579605,7934.06140545198,9370.33899021053,5611.27685234364,9875.59003780714,12498.0321262284,9672.64424545341
101,0.0366523050839953,7923.19692742981,9355.42826653023,5632.75663481924,9867.09499541795,12458.3883618303,9662.81804970424
