Subject,block_vec,SMA__PCC,VSTR__PCC,VSTR__SMA,Kolling__PCC,Kolling__SMA,Kolling__VSTR,M1__PCC,M1__SMA,M1__VSTR,M1__Kolling,VMPFC__PCC,VMPFC__SMA,VMPFC__VSTR,VMPFC__Kolling,VMPFC__M1
135,3,-0.0602979695483045,0.0591314701480211,0.387905524316496,0.351489853078981,0.439293824520483,0.410347343636829,-0.0137161319322822,1.52947013698794,0.340412753080709,0.311727638994063,0.744375757308064,-0.0770428943471371,0.262821936518827,0.464724908794432,-0.10459917896962
136,3,0.150113259428523,0.182628739591715,0.557989929511151,0.749773933953798,0.231623485377345,0.389037178106168,-0.0445209805398121,0.955591387110418,0.401784623344076,-0.113836224715262,0.681819256761798,0.184870686526765,0.427203888139223,0.932765292620794,-0.043724011464244
137,3,0.457046478868461,0.447671868610958,0.485091443026874,0.465349681102672,0.502480304681731,0.404353536716379,0.49394139924865,1.09635359952651,0.558495473032016,0.346782443652877,0.468071850252198,0.168932119565437,0.482728306922355,0.629224747696561,0.26260664258699
138,3,0.199514355464202,0.373043453403504,0.412372710982858,0.710906646124037,0.338685842756351,0.412626438367412,0.147367622879704,0.706210862548507,0.341643276724747,0.185420292908532,0.754574595531406,-0.0435109717347636,0.294829804249692,0.614380183614337,0.0424248612397797
139,3,0.455586973144119,0.448640661203523,0.666660209175296,0.71033058754178,0.787438336444996,0.541097176816053,0.235246011400595,1.1568957771451,0.600092429892481,0.402068947742283,0.872071448070882,0.207186163245602,0.584370199795203,0.583817827104503,0.115327257817099
140,3,0.075033694181872,0.155853943814809,0.810175474137697,0.0624470699503129,1.00149262426529,0.670360527419724,0.0656889770729505,1.41189667909903,0.753789891153896,0.760988485374615,0.867270497568774,-0.0554777839301367,0.122524528041338,0.0344728025431516,-0.045067301374987
141,3,0.424826022913415,0.47475578186095,0.705635333174846,0.488166726717422,0.942373154910153,0.865271784487624,0.509115477270051,1.14406914727422,0.437133313410388,0.543886280730855,0.603563663496726,0.266970065742075,0.715025239180472,0.769197034414507,0.10007458855592
142,3,0.889240948620771,0.653757742938208,0.681116146906505,0.608568536485028,0.861874341191055,0.418879002083883,0.92634628152832,0.986536593438042,0.590617175937991,0.460080613892355,0.339713839454675,0.187016207344575,0.290949591977738,0.457211505466193,0.0376363292211688
144,3,0.909361198833387,1.24951944081776,0.979113837928525,0.905941049159691,1.24188863776142,1.09165321481826,0.858914527560563,1.11193005738814,0.799069731716653,0.642147317618065,0.678951958928084,0.54918865154636,0.733883062117943,0.649346556499969,0.37466576424569
145,3,0.31867257928718,0.51916531987697,0.580504651204329,0.307669745994585,0.818539068248075,0.363125714119898,0.195013044164876,1.01857666628998,0.62163654655316,0.358140132692805,0.704980962025713,-0.0330920204302273,0.396871678201147,0.140285103110407,-0.0749158036614779
146,3,0.433205778608572,0.49939524241039,0.658867029092769,0.337590105367382,0.694817710564167,0.573773690343511,0.353337745252218,1.37943045609042,0.588075892638988,0.552201483796814,0.678401021487286,0.0669092724136875,0.384190227490957,0.358860844919097,-0.0334500454147421
147,3,0.634285944594701,0.681697671044764,0.47636670833659,0.743804556984319,0.727201217684387,0.638736018072079,0.57846131637175,1.17060693806703,0.364412567579103,0.591431394793883,0.698196102115101,0.216752226970989,0.669315893316537,0.459617508112076,0.0723268251483015
148,3,0.399000478592895,0.322813564744173,0.768752718682758,0.439618347517715,1.21936373665434,0.736568071873816,0.536499530578758,0.795052174988506,0.591401611647991,0.519943854045004,0.462753940738878,0.716265510843631,0.834133316204187,1.10371281983968,0.319759036894124
